id,atlas_id,name,acronym,st_level,parent_structure_id,depth,graph_order,structure_id_path,color_hex_triplet,sphinx_id
997,-1,root,root,0,,0,0,/997/,FFFFFF,1
8,0,Basic cell groups and regions,grey,1,997,1,1,/997/8/,BFDAE3,2
567,70,Cerebrum,CH,2,8,2,2,/997/8/567/,B0F0FF,3
688,85,Cerebral cortex,CTX,3,567,3,3,/997/8/567/688/,B0FFB8,4
695,86,Cortical plate,CTXpl,4,688,4,4,/997/8/567/688/695/,70FF70,5
315,746,Isocortex,Isocortex,5,695,5,5,/997/8/567/688/695/315/,70FF71,6
184,871,"Frontal pole, cerebral cortex",FRP,8,315,6,6,/997/8/567/688/695/315/184/,268F45,7
68,998,"Frontal pole, layer 1",FRP1,11,184,7,7,/997/8/567/688/695/315/184/68/,268F45,8
667,1073,"Frontal pole, layer 2/3",FRP2/3,11,184,7,8,/997/8/567/688/695/315/184/667/,268F45,9
526157192,,"Frontal pole, layer 5",FRP5,11,184,7,9,/997/8/567/688/695/315/184/526157192/,268F45,10
526157196,,"Frontal pole, layer 6a",FRP6a,11,184,7,10,/997/8/567/688/695/315/184/526157196/,268F45,11
526322264,,"Frontal pole, layer 6b",FRP6b,11,184,7,11,/997/8/567/688/695/315/184/526322264/,268F45,12
500,203,Somatomotor areas,MO,6,315,6,12,/997/8/567/688/695/315/500/,1F9D5A,13
107,1003,"Somatomotor areas, Layer 1",MO1,11,500,7,13,/997/8/567/688/695/315/500/107/,1F9D5A,14
219,1017,"Somatomotor areas, Layer 2/3",MO2/3,11,500,7,14,/997/8/567/688/695/315/500/219/,1F9D5A,15
299,1027,"Somatomotor areas, Layer 5",MO5,11,500,7,15,/997/8/567/688/695/315/500/299/,1F9D5A,16
644,787,"Somatomotor areas, Layer 6a",MO6a,11,500,7,16,/997/8/567/688/695/315/500/644/,1F9D5A,17
947,825,"Somatomotor areas, Layer 6b",MO6b,11,500,7,17,/997/8/567/688/695/315/500/947/,1F9D5A,18
985,830,Primary motor area,MOp,8,500,7,18,/997/8/567/688/695/315/500/985/,1F9D5A,19
320,888,"Primary motor area, Layer 1",MOp1,11,985,8,19,/997/8/567/688/695/315/500/985/320/,1F9D5A,20
943,966,"Primary motor area, Layer 2/3",MOp2/3,11,985,8,20,/997/8/567/688/695/315/500/985/943/,1F9D5A,21
648,929,"Primary motor area, Layer 5",MOp5,11,985,8,21,/997/8/567/688/695/315/500/985/648/,1F9D5A,22
844,1095,"Primary motor area, Layer 6a",MOp6a,11,985,8,22,/997/8/567/688/695/315/500/985/844/,1F9D5A,23
882,1100,"Primary motor area, Layer 6b",MOp6b,11,985,8,23,/997/8/567/688/695/315/500/985/882/,1F9D5A,24
993,831,Secondary motor area,MOs,8,500,7,24,/997/8/567/688/695/315/500/993/,1F9D5A,25
656,930,"Secondary motor area, layer 1",MOs1,11,993,8,25,/997/8/567/688/695/315/500/993/656/,1F9D5A,26
962,1110,"Secondary motor area, layer 2/3",MOs2/3,11,993,8,26,/997/8/567/688/695/315/500/993/962/,1F9D5A,27
767,944,"Secondary motor area, layer 5",MOs5,11,993,8,27,/997/8/567/688/695/315/500/993/767/,1F9D5A,28
1021,1117,"Secondary motor area, layer 6a",MOs6a,11,993,8,28,/997/8/567/688/695/315/500/993/1021/,1F9D5A,29
